STUDENT NUMBER,name report last,name report first,enrollment begin date,enrollment end date,ACADEMIC TERM ID,SNAPSHOT GENERATION ID,ACADEMIC CENTER ID
31056294,Smith,Kathleen,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41070165,Smith,Kaitlin,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41111545,Smith,Kyle,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41136585,Smith,Jacob,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41139525,Smith,Allison,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41164539,Smith,Daniel,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41173837,Smith,Derrick,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41174369,Smith,Nicholas,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41179695,Smith,Matthew,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41188246,Smith,Ryan,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41192497,Smith,Bradley,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41195118,Smith,Lorena,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41198548,Smith,Lucas,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41201336,Smith,Hannah,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41205497,Smith,Bryant,8/22/2011 12:00:00 AM,8/23/2011 12:00:00 AM,20113,10285,7570
4205689,Smith,Lydia,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
411205804,Smith,Richard,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41205867,Smith,Julian,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41206218,Smith,Anthony,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41206607,Smith,Christopher,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41207525,Smith,Erika,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41234638,Smith,Daniel,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41236729,Obama,Sean,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41248124,Smith,Chris,8/23/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41251257,Smith,Eric,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41254505,Smith,Sarah,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
41261947,Smith,Taylor,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
