STUDENT NUMBER,name report last,name report first,enrollment begin date,enrollment end date,ACADEMIC TERM ID,SNAPSHOT GENERATION ID,ACADEMIC CENTER ID
10751217,Middleton,Kate,8/22/2011 0:00,#EMPTY,20113,10285,7570
10824714,Middleton,Daniel,8/22/2011 0:00,#EMPTY,20113,10285,7570
10847688,Middleton,Annalysa,8/22/2011 0:00,#EMPTY,20113,10285,7570
10848254,Middleton,Brooke,8/22/2011 0:00,#EMPTY,20113,10285,7570
10853070,Middleton,Ryan,8/22/2011 0:00,8/23/2011 0:00,20113,10285,7570
10905784,Middleton,David,8/22/2011 0:00,#EMPTY,20113,10285,7570
10933760,Middleton,Adam,8/22/2011 0:00,#EMPTY,20113,10285,7570
10942666,Middleton,Zachary,8/22/2011 0:00,#EMPTY,20113,10285,7570
10949098,Middleton,Kirsten,8/22/2011 0:00,#EMPTY,20113,10285,7570
10971966,Middleton,Tristan,8/22/2011 0:00,#EMPTY,20113,10285,7570
10975217,Middleton,Ibrahim,8/22/2011 0:00,#EMPTY,20113,10285,7570
10978898,Middleton,Kristoffer,8/22/2011 0:00,#EMPTY,20113,10285,7570
10981384,Middleton,Erik,8/22/2011 0:00,#EMPTY,20113,10285,7570
10985680,Middleton,Benjamin,8/23/2011 0:00,#EMPTY,20113,10285,7570
10986979,Middleton,Devin,8/22/2011 0:00,#EMPTY,20113,10285,7570
10994170,Middleton,Timothy,8/22/2011 0:00,#EMPTY,20113,10285,7570
10998726,Middleton,Vincent,8/23/2011 0:00,#EMPTY,20113,10285,7570
11000169,Middleton,Rachid,8/22/2011 0:00,#EMPTY,20113,10285,7570
11007236,Middleton,John,8/22/2011 0:00,#EMPTY,20113,10285,7570
11009019,Middleton,Jake,8/22/2011 0:00,#EMPTY,20113,10285,7570
11010336,Middleton,Caryssa,8/22/2011 0:00,#EMPTY,20113,10285,7570
11015159,Middleton,Ty,8/22/2011 0:00,#EMPTY,20113,10285,7570
11015756,Middleton,Haley,8/22/2011 0:00,#EMPTY,20113,10285,7570
11016150,Middleton,Cynthia,8/22/2011 0:00,#EMPTY,20113,10285,7570
11019149,Middleton,Amy,8/22/2011 0:00,#EMPTY,20113,10285,7570
11022199,Middleton,Connor,8/22/2011 0:00,#EMPTY,20113,10285,7570
11022788,Middleton,Sarah,8/22/2011 0:00,#EMPTY,20113,10285,7570
11023090,Middleton,Alexandra,8/22/2011 0:00,#EMPTY,20113,10285,7570
11029559,Middleton,Brittnay,8/22/2011 0:00,#EMPTY,20113,10285,7570
11029760,Middleton,Natalie,8/22/2011 0:00,#EMPTY,20113,10285,7570
11031058,Middleton,Drew,8/22/2011 0:00,#EMPTY,20113,10285,7570
11032608,Middleton,Melissa,8/22/2011 0:00,#EMPTY,20113,10285,7570
11032769,Middleton,Austin,8/22/2011 0:00,#EMPTY,20113,10285,7570
11035334,Middleton,Jacob,8/22/2011 0:00,8/24/2011 0:00,20113,10285,7570
11039550,Middleton,Kaitlyn,8/22/2011 0:00,#EMPTY,20113,10285,7570
11042997,Middleton,Brenda,8/22/2011 0:00,#EMPTY,20113,10285,7570
11044290,Middleton,William,8/24/2011 0:00,#EMPTY,20113,10285,7570
11044498,Middleton,Jon,8/22/2011 0:00,#EMPTY,20113,10285,7570
11044839,Middleton,Paige,8/22/2011 0:00,#EMPTY,20113,10285,7570
11047755,Middleton,Colin,8/22/2011 0:00,#EMPTY,20113,10285,7570
11051510,Middleton,Brooke,8/22/2011 0:00,#EMPTY,20113,10285,7570
11056546,Middleton,Lisa,8/22/2011 0:00,#EMPTY,20113,10285,7570
11057298,Middleton,Heather,8/22/2011 0:00,#EMPTY,20113,10285,7570
11060800,Middleton,Joshua,8/22/2011 0:00,#EMPTY,20113,10285,7570
11061288,Middleton,Mark,8/22/2011 0:00,#EMPTY,20113,10285,7570
11062135,Middleton,Kyle,8/22/2011 0:00,#EMPTY,20113,10285,7570
11063245,Middleton,Janae,8/22/2011 0:00,8/23/2011 0:00,20113,10285,7570
11064730,Middleton,Amelia,8/22/2011 0:00,#EMPTY,20113,10285,7570
11065494,Middleton,Haichuan,8/22/2011 0:00,#EMPTY,20113,10285,7570
11066655,Middleton,Kalli,8/22/2011 0:00,#EMPTY,20113,10285,7570
11068060,Middleton,John,8/22/2011 0:00,#EMPTY,20113,10285,7570
11075348,Middleton,Davon,8/22/2011 0:00,8/23/2011 0:00,20113,10285,7570
